filename,faceId,gender,age,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,smile,faceRectangleTop,faceRectangleLeft,faceRectangleWidth,faceRectangleHeight,pupilLeft.x,pupilLeft.y,pupilRight.x,pupilRight.y,noseTip.x,noseTip.y,mouthLeft.x,mouthLeft.y,mouthRight.x,mouthRight.y,eyebrowLeftOuter.x,eyebrowLeftOuter.y,eyebrowLeftInner.x,eyebrowLeftInner.y,eyeLeftOuter.x,eyeLeftOuter.y,eyeLeftTop.x,eyeLeftTop.y,eyeLeftBottom.x,eyeLeftBottom.y,eyeLeftInner.x,eyeLeftInner.y,eyebrowRightInner.x,eyebrowRightInner.y,eyebrowRightOuter.x,eyebrowRightOuter.y,eyeRightInner.x,eyeRightInner.y,eyeRightTop.x,eyeRightTop.y,eyeRightBottom.x,eyeRightBottom.y,eyeRightOuter.x,eyeRightOuter.y,noseRootLeft.x,noseRootLeft.y,noseRootRight.x,noseRootRight.y,noseLeftAlarTop.x,noseLeftAlarTop.y,noseRightAlarTop.x,noseRightAlarTop.y,noseLeftAlarOutTip.x,noseLeftAlarOutTip.y,noseRightAlarOutTip.x,noseRightAlarOutTip.y,upperLipTop.x,upperLipTop.y,upperLipBottom.x,upperLipBottom.y,underLipTop.x,underLipTop.y,underLipBottom.x,underLipBottom.y
16220-S_20131207_1320_03.mp4-2255.jpg,d3487f60-c0c8-4bea-9a54-a451993a5545,female,22,0,0,0,0,1,0,0,0,1,91,150,70,70,172,108.5,200.5,108.7,184,126.5,172.9,143.6,196.9,143.4,158.6,100.8,180.4,99.8,166.6,108.9,171.9,106.5,171.6,111.2,176.9,109.5,192.2,101.2,213.9,102.1,195.4,109.6,200.6,106.7,200.7,111.1,205.7,109.2,180.9,110,190.6,109.9,178.8,122.5,190.2,122.7,175.7,128.9,193.6,128.2,184.6,137.9,184.5,141.6,184.5,146.8,184.3,152.4
16222-S_20131207_1320_03.mp4-4230.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16242-S_20131207_1320_05.mp4-7180.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16245-S_20131207_1320_05.mp4-8825.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16251-S_20131207_1320_05.mp4-16020.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627-A_20130721_1008_01.mp4-43190.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16283-S_20131212_1325_05.mp4-14595.jpg,62286159-4a0b-4f26-8e4c-7630015902e0,female,27,0,0,0.001,0.008,0.002,0.314,0.657,0.018,0.002,120,317,76,76,337.1,142.1,369.7,139.4,353.7,156.1,341.6,177.1,370.4,176.8,324.7,131.9,345.9,129.9,331.9,143,336.5,140.4,337,143.9,342.4,141.7,360.7,129.1,384.4,129.4,364.5,140.7,369.9,137.5,370.4,141.5,375.7,139.4,348.4,141.8,358.5,141.5,347.1,151.9,360.7,151.4,344,158.7,364.4,157.6,354.3,171.3,354.3,175.2,354.8,179.9,355.3,185.3
16300-S_20131214_1327_01.mp4-7770.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16301-S_20131214_1327_01.mp4-8590.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16303-S_20131214_1327_01.mp4-9680.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
